FileName,Acropore_branched,Acropore_digitised,Acropore_tabular,Algae,Dead_coral,Fish,Millepore,No_acropore_encrusting,No_acropore_massive,No_acropore_sub_massive,Rock,Rubble,Sand
odm_orthophoto_317335_7665595.png,1.0,0.87,0.61,1.0,0.95,0.99,0.0,0.0,0.24,0.99,1.0,0.99,1.0
odm_orthophoto_317336_7665593.png,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
odm_orthophoto_317336_7665598.png,1.0,0.0,0.0,1.0,0.73,0.98,0.0,0.0,0.0,0.43,1.0,0.0,0.0
odm_orthophoto_317340_7665590.png,1.0,0.84,0.21,1.0,1.0,0.98,0.0,0.0,0.0,0.99,1.0,0.88,0.92
odm_orthophoto_317341_7665590.png,0.64,0.5,0.24,0.64,0.58,0.39,0.0,0.0,0.0,0.5,0.64,0.64,0.64
odm_orthophoto_317343_7665590.png,0.95,0.0,0.48,0.99,0.99,0.96,0.0,0.64,0.37,0.98,0.97,0.78,0.94
odm_orthophoto_317343_7665591.png,0.65,0.36,0.36,0.76,0.49,0.49,0.0,0.0,0.0,0.49,0.67,0.76,0.76
odm_orthophoto_317345_7665593.png,0.39,0.0,0.0,0.81,0.0,0.23,0.0,0.0,0.0,0.0,0.23,0.81,0.81
odm_orthophoto_317345_7665595.png,0.64,0.34,0.34,0.71,0.34,0.19,0.0,0.0,0.19,0.47,0.64,0.71,0.71
odm_orthophoto_317346_7665590.png,1.0,0.56,0.56,1.0,0.68,0.97,0.0,0.0,0.0,0.88,0.99,0.26,0.48
odm_orthophoto_317346_7665598.png,1.0,1.0,0.0,1.0,1.0,0.93,0.0,0.0,0.54,1.0,1.0,0.91,0.91
odm_orthophoto_317348_7665586.png,0.99,0.5,0.0,0.99,0.99,0.93,0.0,0.0,0.0,0.95,0.98,0.0,0.0
odm_orthophoto_317348_7665588.png,0.96,0.0,0.0,0.96,0.33,0.91,0.0,0.0,0.0,0.33,0.89,0.9,0.9
odm_orthophoto_317348_7665591.png,0.95,0.64,0.22,0.95,0.0,0.9,0.0,0.0,0.0,0.66,0.93,0.9,0.95
odm_orthophoto_317348_7665598.png,0.63,0.37,0.0,0.63,0.0,0.44,0.0,0.0,0.0,0.42,0.63,0.63,0.63
odm_orthophoto_317350_7665586.png,0.97,0.0,0.0,0.98,0.88,0.91,0.0,0.0,0.0,0.42,0.95,0.92,0.92
odm_orthophoto_317350_7665588.png,0.85,0.64,0.0,0.85,0.0,0.78,0.0,0.0,0.0,0.0,0.69,0.6,0.69
odm_orthophoto_317350_7665591.png,0.93,0.51,0.0,0.93,0.41,0.93,0.0,0.0,0.0,0.8,0.8,0.0,0.43
odm_orthophoto_317350_7665601.png,0.98,0.0,0.0,0.98,0.97,0.94,0.0,0.0,0.0,0.96,0.98,0.93,0.87
odm_orthophoto_317350_7665608.png,0.98,0.98,0.43,1.0,0.95,1.0,0.0,0.0,0.0,0.63,0.63,0.98,0.99
odm_orthophoto_317351_7665581.png,0.19,0.0,0.0,0.79,0.19,0.19,0.0,0.0,0.34,0.34,0.66,0.79,0.79
odm_orthophoto_317351_7665583.png,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.85,0.85
odm_orthophoto_317351_7665586.png,0.2,0.0,0.0,0.79,0.19,0.0,0.0,0.0,0.0,0.0,0.49,0.79,0.79
odm_orthophoto_317351_7665590.png,0.57,0.58,0.44,0.81,0.42,0.67,0.0,0.0,0.0,0.66,0.75,0.75,0.75
odm_orthophoto_317351_7665600.png,1.0,0.0,0.7,1.0,0.85,0.95,0.0,0.0,0.0,0.83,0.99,0.27,0.8
odm_orthophoto_317351_7665604.png,0.96,0.22,0.0,0.96,0.0,0.95,0.0,0.0,0.22,0.67,0.95,0.56,0.92
odm_orthophoto_317351_7665608.png,0.92,0.0,0.0,0.92,0.71,0.86,0.0,0.0,0.0,0.0,0.92,0.15,0.6
odm_orthophoto_317353_7665580.png,0.94,0.0,0.0,0.97,0.31,0.87,0.0,0.0,0.25,0.62,0.94,0.96,0.96
odm_orthophoto_317353_7665583.png,0.69,0.0,0.0,0.84,0.26,0.75,0.0,0.0,0.37,0.0,0.56,0.84,0.84
odm_orthophoto_317353_7665585.png,0.96,0.52,0.3,0.98,0.87,0.91,0.0,0.0,0.18,0.96,0.98,0.96,0.98
odm_orthophoto_317353_7665590.png,0.34,0.0,0.0,0.81,0.77,0.77,0.37,0.0,0.0,0.66,0.81,0.81,0.81
